,Title,Plot,Genre
18036,Boss 2: Back to Rule,"The Story revolves around Surya(Jeet), a public figure who is now hated by the people of India due to an apparent missing of their money kept in Business bank, a bank built by Surya for his people. Gopinath, Surya's loved minister was killed by an unknown person due to various enmities. Surya was forced to leave India due to repeated threats by the people and the police. He dressed as a Rock musician and sneaked into Dhaka, Bangladesh, to look for Prince Shahnawaz Hussain(Amit Hasan), who had earlier promised to donate a huge sum for his company, Surya Industries. But later he came to know that he betrayed him and went off to Bangkok,Thailand. In Dhaka, Aisha(Nusraat Faria) who was actually Shahnawaz's daughter helped Surya to overcome various problems and come to Bangkok. In Bangkok, during an action scene on the top of Shahnawaz's building, we come to know that actually Bidyut Shivalkar(Indraneil Sengupta), Gopinath's son, who Surya had believed to be his friend due to his enormous contributions to his industry, was the one who tricked Surya by stealing all the money in the bank with a hope to become a wealthy man. He is also the man who killed his father by gunfire due to greed of property. The people who helped him were Prince Shahnawaz Hussain(Amit Hasan) and Avinash Burman(Kaushik Sen), another politician friend of Gopinath, with the same intention.Surya escaped them by jumping down the building using a rope. He is soon able to kill Shahnawaz with the help of Aisha, who hates her father for killing many people including her mother. He also is able to poison Avinash to death while asleep, in spite of the huge security. But then the plot turns around when Bidyut captures Aisha and Rusha(Subhasree Ganguly), Surya's lover.But finally, in an action scene, he is able to save both of them and gets hold of Bidyut. He also thus is able to win back the lost money. Bidyut is sent to jail and a victorious Surya is once again able to bring happiness to his people and criticizes them for losing their trust on him. Nevertheless, the film ends on a happy note with Surya being able to win back the trust of the people.",action
18039,Mrittupuri: Kill Zone,"Sydney is a dream city for many immigrants, but also it is an ideal place for many international crime lords. Gangsters from Bangladesh, China, Lebanon, Russia have all moved to Australia, to take a piece of the pie, and try to build empire. Among them is the rising Bangladeshi gang Double R. Rajan Rahman (Rahmatullah), the kingpin of Bangladeshi gang is not happy with the way his elder son, Rajib Rahman (Saifullah Sadi) and his crime associate Raja (Arifin Shuvoo), run the business. The situation comes to a head after the timely death of Irish Mob boss’ son Jimmy, which prompts Rajib to leave the country. Raja maintains low profile during this period, and in the process falls in love with bar dancer Layla (Prosun Azad). Upon Rajib’s return, he warns Raja not to get involved with Layla, as he perceives Layla to be his own property. Raja manages to divert Rajib’s mind away, with plans to do business with Lengra Kashem (Taskeen Rahman), a mercenary from Bangladesh. Rajib and Sabbir, his youngest brother, meet Lengra and promise him the East coast territory, leading to their business partnership to become a booming new empire. Eventually, Rahman and his crew fall through on their deal, and remove Lengra from the partnership. Lengra decides to avenge this deception, waiting for the right time to strike.",action
18068,I Will Repay,"The film takes place in Paris, 1793: during the Reign of Terror. Paul de Roulade (Pedro de Cordoba) is a hero to the Proletariat, who cry him 'Citizen de Roulade'. One evening he gets into an argument with the Vicomte de Marny over the virtues of a dancing girl; this leads to a fight (provoked by the viscount), forcing Paul to kill the nobleman. The viscount's sister Juliette de Marny (Flora le Breton) swears revenge: to achieve this, she infiltrates the de Roulade household and beguiles Paul into falling in love with her.
It is revealed that Paul has secret Royalist sympathies and, wary of the bloodshed, he decides to smuggle Marie Antoinette out of France . To do this, he enlists the aid of none other than the Scarlet Pimpernel (Holmes Herbert).
When Juliette learns of Paul's intrigue, she realises that this is her chance to get revenge by betraying him to the Jacquards. Or will she fall in love with him as he has with her? Meanwhile, we get a few scenes of Charlotte Corday on trial for the murder of Marat.",action
18111,The Farmer's Wife,"Tibby, the wife of Samuel Sweetland (Jameson Thomas) dies, and shortly afterwards his daughter marries and leaves home, leaving him on his own with his two servants. His wife had told him that he should remarry after her death, so he pursues some local spinsters who were at his daughter's wedding after he and his housekeeper Minta (Lillian Hall-Davis) make out a list of possibilities.
First is Widow Louisa Windeatt, but Sweetland is shocked and mad when she rejects his advances and says she is too independent for him. Next, he attempts to court Thirza Tapper, a nervous wreck who almost collapses when Sweetland proposes to her. She, too, rejects him because she says she has no need for a man, and he is furious yet again. He wanders outside as other guests arrive for her party. His bolshie servant Ash is helping at the party, wearing an ill-fitting coat and trying to keep his trousers up while doing his work at the party.
While the others are outside listening to some singers, Sweetland proposes to Mary Hearn, but she rejects him as too old, and then bursts into hysterical laughter when he angrily tells her that she is ""full blown and a bit over.""
Later Sweetland tells Minta that he is not going to finish the list of women because he is so dejected. He leaves the room and Ash returns and tells Minta what an embarrassment to men that Sweetland is by going around and practically begging any woman to be his wife. Sweetland overhears this and orders Ash to saddle his horse because he is going to try number four on the list, Mercy Bassett, a barmaid at a local inn. After he leaves, it is revealed that Minta is in love with him. Bassett rejects him too and he comes home dejectedly. Meanwhile postmistress Hearn and Tapper compare notes and Hearn decides she should marry him after all and she goes to his house with Tapper.
Having run through the women who have turned him down, Samuel sees Minta for the first time as more than a housekeeper and decides that she is the woman for him, if she'll have him. He tells her he has got used to being rejected and will not be angry if she rejects him, too. She accepts him and he tells her to put on the dress Tibby gave her. As she goes to the room, Hearn and Tapper arrive. Hearn says she is now willing to be his wife. Samuel says all should drink a toast to his wife to be and Hearn is sure it is her, until Minta comes down the stairs in an attractive dress. Hearn lapses into hysterics as Sweetland reveals that Minta will be his bride.",romantic comedy
18123,Emerald of the East,"In India,British troops attempt to rescue the kidnapped son of a Maharaja.",action
18133,Taxi for Two,"Working-class girl Molly (Poulton) finds a necklace and hands it in to the police. It turns out that the necklace is an extremely valuable piece belonging to Lady Devenish (Grace Lane), who is impressed by Molly's honesty and invites her to her home to present her with a substantial cash reward. Molly informs Lady Devenish that she has always longed to own her own taxi and plans to use the money to start up in the business. Unknown to Molly, the conversation has been watched and heard by Lady Devenish's son Jack (Stuart), who finds Molly extremely attractive. Posing as a chauffeur, he applies to be the driver of Molly's first taxi. She agrees to employ him and the pair gradually become romantically involved. Jack finally confesses his real identity, and the couple make plans to marry.",romantic comedy
18227,Counsel's Opinion,"Divorce barrister Logan (Kendall) arrives back in London from a trip overseas to find the whole city fogbound. Unable to reach his flat, he books into the exclusive Royal Parks Hotel, where a costume ball is taking place. Many of the partygoers are also stranded by the fog and while some are happy to bed down for the night in the hotel lounge, Leslie (Barnes) sweet-talks Logan into letting her stay in his suite. Although the pair are attracted to each other, the night passes innocently with Leslie in the bedroom and Logan in the sitting-room. As he leaves the suite for work the next morning, Logan barrels into a lady's maid in the corridor outside the room.
On arriving at Chambers, Logan is asked to act as counsel for Lord Rockburn, who is seeking a divorce from his wife. Logan accepts the brief, but then discovers to his horror that Lady Rockburn was a guest at the Royal Parks Hotel ball the previous night, and a cornerstone of the case is alleged impropriety after a maid observed a man leaving her room that morning. Convinced that Lady Rockburn can only be Leslie, Logan tries to back out from the case, until Lord Rockburn produces his chief witness the maid, who shows no sign of recognising Logan after their brief encounter in the hotel corridor.
When Leslie calls to return a dressing gown Logan lent her, he invites her to dine with him that evening, still believing her to be Lady Rockburn and intending to inform her of the situation. At the restaurant he lays his cards on the table and Leslie reassures him that she reciprocates his feelings. The romantic evening comes to an abrupt end when Lord Rockburn shows up at the same restaurant accompanied by another woman, and Logan and Leslie are forced to make an unobtrusive early exit to avoid a potentially scandalous public scene. They go back to Logan's flat, where he assures Leslie that he has fallen in love with her and will if necessary sacrifice his legal career for her. Meanwhile, Lord Rockburn is informed that a private detective he has on the case has uncovered the identity of his wife's lover. He decides to visit Logan immediately to tell him the good news, and is baffled by Logan's horrified reaction when he opens the door. Logan admits him to the flat where Leslie is sitting, throwing himself on Lord Rockburn's mercy by confessing that he loves her and is prepared to face the consequences. To his astonishment, the bewildered Lord Rockburn informs him that he has never seen Leslie before in his life. Leslie then confesses that she has gone along with Logan's incorrect assumption as a means of seeing how much he would be prepared to give up for her. She tells him that she is in fact a widow, and that he has passed the test with flying colours.",romantic comedy
18332,King of the Damned,"Convict 83 is a prisoner on an island, where the harsh regime of the Governor pushes him to lead a revolt.[1]",action
18365,The Amazing Quest of Ernest Bliss,"In London, rich, idle socialite Ernest Bliss (Cary Grant) feels out of sorts for no discernible reason. He sees a doctor, Sir James Aldroyd, who bluntly informs him that he is suffering from too much money, that if he would be cured if he lived for a year on a few pounds per week. Bliss is so insulted that he makes a bet for £50,000 with Sir James that he can survive for a year, supporting himself solely on whatever he earns and not touching his inherited millions.
He takes the Underground to Stepney Green and rents an attic room. He falls behind on the rent, but landlady Mrs. Heath is sympathetic to his plight.
Finally, despite having no experience, he persuades Mr. Masters to give him a job selling Alpha stoves. After three weeks, he has not made a single sale, and Frances Clayton (Mary Brian), Masters' secretary, tells Bliss that the company, in which Masters has invested his life savings, is in danger of closing down. Then Bliss comes up with an idea to promote the product. He takes £500 of his own money - but not for his own benefit, so the bet is still on - and offers free meals cooked on the stoves to the general public. A wholesale buyer places a trial order for 100 stoves, with the prospect of purchasing 40,000 a year if things work out. Masters is delighted and offers Bliss a partnership, but Bliss instead resigns.
After he finds another job, Bliss takes Frances to dinner. As they dance, she informs him that she too is leaving Masters; he offered her a partnership too, but of the matrimonial kind.
Late one night, Dr. Alroyd engages a car and a chauffeur for a medical emergency. That chauffeur turns out to be Bliss. After Bliss drives the doctor back to Harley Street, Bliss informs him that almost seven months have elapsed on their bet.
Dorrington, another customer, asks him to come to 11 Regents Park Gate, flat 6, which happens to be Bliss's place. Bliss's valet Clowes, with too much time on his hands, lost heavily betting on the dogs and let the flat to Dorrington. Dorrington has noticed the ""resemblance"" between the chauffeur and the absent owner. Dorrington has practiced forging Bliss's signature and wants the chauffeur to cash a cheque for £30,000 in return for a third share. Bliss gets the cashier to give him blank pieces of paper in an envelope and returns to his flat. He reveals who he is to Dorrington and his henchman, but they do not believe him. In the ensuing fight, Dorringto slips away with the worthless envelope while Bliss struggles with the henchman. Finally a drunk Clowes emerges and hits the henchman with a bottle. Afterward, Bliss forgives his servant.
Frances gets a job with Mr. Montague; he makes it clear that he wants more than a secretary, but she needs the work. When she tells Bliss that Montague wants her to do some work outside the office at night, Bliss disables Montague's car and has her hire him to take them to Montague's rendezvous. After confirming that Montague's intentions are not honourable, he takes Frances away. When his boss sacks him, he is unconcerned, but then the manager discharges mechanic Bill Bronson for standing up for him, so Bliss buys the company and orders that the manager be fired and replaced by Bill.
He persuades Frances to accept his marriage proposal. Then her mother arrives with terrible news; Frances's sister will die unless she is taken to a winter resort in Switzerland. In desperation, Frances decides to marry Masters for the money she needs. She moves without informing Bliss. He finally tracks her down and, after learning why she broke up with him, fixes everything and marries her himself.",romantic comedy
18441,The Mutiny of the Elsinore,"Following a mutiny on a ship against a brutal captain, a writer who happens to be aboard as a passenger is asked to take over.",action
18479,The Divorce of Lady X,"Leslie Steele, a guest at a ball at the Royal Park Hotel, is forced to stay overnight there because of thick London fog. As no rooms are available, Miss Steele talks her way into sharing a suite with Everard Logan, a handsome though somewhat stiff lawyer. All his efforts to oust her are to no avail and she even ends up talking him out of his pyjamas.
The next morning, they have breakfast together. She tells him only her Christian name, Leslie; the night before she led him to believe she was married. He insists they must meet again. While he's out of the room, dressing, she bolts, and is picked up by her family's butler.
At home, where she lives with her grandfather, a judge, while her parents are India, Miss Steele queries him about Logan and tells her grandfather she's going to marry him. She also learns that Logan will be in her grandfather's court that day.
At Logan's office, an old school friend, Lord Mere, arrives and asks Logan to represent him in a divorce case against his wife, who had also been stranded at the hotel. The story his friend tells of his wife matches what happened to Logan in every detail. Logan defends Lady Mere, until he learns Lord Mere is her fourth husband, the previous three being very declasse.
Miss Steele attends her grandfather's court that day to observe Logan in action and sees him rip a woman to shreds. In his office he interviews the Lady Mere's maid, who saw Lady Mere and the man she was with, terrified she will recognize him. Then Miss Steele shows up, and Logan rants at her about what he thinks is her past life; she plays along and he confesses to loving her, and they kiss. He immediately panics and runs back into his office and insists on hearing all the details of Lady Mere's marital career from her maid. He agrees to take the case.
Logan meets Miss Steele at a nightclub and begs her to marry him once he obtains ""her"" divorce. As they dance he queries her about her four husbands. They leave the club and she makes an appointment to see him at his office. At home, she tells her grandpa about the evening, and he tells her that her deception may backfire on her when Logan learns the truth.
Lord Mere shows up at Logan's office and tells him the divorce is off. Logan is disappointed, thinking his chance at love is gone. Once Lord Mere gets home his wife tosses him out when he questions her story. At his club, Lord Mere ponders Logan's parting words, ""Tell your wife she's the most wonderfully clever woman in the world"". Drunk, he calls Logan at 3 am, insisting he explain the comment.
Logan tells Lord Mere that he's ""the man from the Royal Parks Hotel."" Lord Mere is amused, and gives his blessing. At home, he also gives his blessing to his wife.
The next morning Miss Steele and Lady Mere arrive simultaneously at Logan's office. After they both simultaneouly claim to be Lady Mere, Miss Steele drags Her Ladyship off to the beauty shop, where the learn the whole story from each other. Lady Mere calls Logan, but it's Miss Steele who invites him to Mere Hall. After some doubts he accepts.
At Mere Hall, Logan arrives too late to ride out with the rest, but encounters Miss Steele and begs her to leave with him, but she rides off. That afternoon at tea, he is introduced by Lady Mere to ""Miss Leslie Steele"" and turns away in disgust at her deception, while her grandpa laughs.
At the cost of abandoning an important case, he flees the country, but she manages to board the same ship, finds him, and insists, rather than eloping to Paris with her, he must return and argue the case, which he does, brilliantly.",romantic comedy
18711,Kiss the Bride Goodbye,"Factory girl Joan Dodd (Medina) and Jack Fowler (Hanley) are in love and expect to marry in due course. When Jack is called up for war service however, Joan's socially-ambitious mother (Ellen Pollock) seizes the chance to meddle in her daughter's life by encouraging the attentions of Joan's older boss Adolphus Pickering (Claud Allister), who is infatuated with her. Pickering proposes marriage, and under pressure from her mother, Joan accepts.
The preparations for the marriage are under way when Jack returns unexpectedly on leave from the army. He is appalled to find Joan in her wedding finery, and persuades her to run away with him. The pair decide to visit Joan's aunt and uncle in another area, and make their way there by train, while Joan's parents are horrified by her disappearance with Jack and fears the worst. When Joan arrives in her bridal gown, her aunt and uncle assume that she and Jack are just married, and prepare a bridal chamber for the couple, much to their embarrassment. Comic misunderstandings ensue all round until Joan finally demands the right to marry the man of her choice.",romantic comedy
18842,Spring in Park Lane,"A footman, Richard, played by Michael Wilding, is employed by Joshua Howard (Tom Walls), an eccentric art collector. His niece and secretary, Judy (Anna Neagle), has her doubts that Richard is the footman he pretends to be. In reality he is Lord Brent, brother of one of Judy's suitors, the Marquis of Borechester (Nicholas Phipps).
He went to America to sell some old paintings to restore the family fortunes but on the way back receives a message that the cheque he was given for the paintings is invalid. He decides to hide until he can save enough money to return to America, and assumes the identity of a footman. He and Judy fall in love, and as he is about to return to America they discover that the purchaser's cheque is valid after all.",romantic comedy
18849,Woman Hater,"Lord Datchett is a misogynist who persuades his friend not to get married. He believes women are vain, trivial and dull. He is irritated when French film star Colette Marly arrives in London and takes the table in a restaurant where he wanted to sit He is scathing of her claims in the newspaper that she is tired of publicity and of men pursuing her, believing it to be an attempt to get more attention. He predicts that if she were really left alone she would throw herself at the first man she met. After being challenged by a man at his club, Datchett decides to invite her to stay at his house, aiming to stage a ""scientific experiment"" and prove his theory right.
In real life Marly is genuinely weary of her publicity-seeking agent and is besieged by autograph hunters and journalists. When she receives Datchett's invitation to stay at his house she accepts in the hope of some solitude. After travelling down to his country house with her maid Clair, she is greeted by the butler Jameson and Lord Datchett, now pretending to be Henry Dodds, the estate manager. The other staff have all been roped in to help maintain the deception.
Datchett tries to discover more about Marly, but she is at first unforthcoming. Slowly they begin to bond, after they go out riding together and when they are locked in a cellar for several hours and get drunk on brandy. Clair meanwhile flirts with both Jameson and Patrick, the Irish gardener provoking them into jealousy and rivalry.
When Reverend Meadows turns up at the house with a christening party for whom Datchett has agreed to be a godfather, Marly discovers who Datchett really is in spite of his efforts to deceive her. At first she plans to leave in a fury, but then decides to play along with Datchett's pretense, intending to teach him a lesson. While out boating on a lake, she pretends to be in distress so that he can be a gallant rescuer, but when he knocks himself out it is she who has to rescue him.
When Datchett's elderly mother Lady Datchett arrives, he persuades her to join in the ploy; she tries, without much success. Eventually Marly reveals to Datchett that she knows who he really is. They are both forced to confront their feelings for each other, and he admits he is in love with her. He asks her to marry him, but she reveals it has all been intended to teach him a lesson. He goes away, crestfallen, and she then realises she is in love with him.
At the suggestion of Clair, Marly stages her drowning for a second time. Datchett is about to return to London after admitting the experiment was a failure when he hears her cries for help. He comes to rescue her, but once again it is she who ends up rescuing him. Once safely on the bank, they end up embracing.",romantic comedy
18863,Don't Ever Leave Me,"The plot, a variation on The Ransom of Red Chief, revolves around Sheila Farlaine (Clark), the teenaged daughter of Shakespearean tragedian Michael Farlaine (Sinclair), who is kidnapped by elderly crook Harry Denton (Rigby) when it's suggested he no longer has what it takes to be a master criminal.
When Harry starts having second thoughts about the caper, Sheila - tired of playing second fiddle to her egotistical father's career - becomes the mastermind of the plot and resists every effort made by Harry's grandson Jack (Hanley) to return her home before she's discovered missing. Newley is Sheila's boyfriend Jimmy, a potential juvenile delinquent and general nuisance to one and all.
Taking advantage of Clark's vocal abilities, screenwriter Westerby included two scenes in which she sang the tune ""It's Not for the Want of Trying"" by songwriters Jack Fishman and Peter Hart.
The film, Clark's twelfth, allowed her to play a role more mature than she had in previous outings, and was both a critical and commercial success.",romantic comedy
19010,The Card,"The film follows the adventures and misadventures of Edward Henry (Denry) Machin, an ambitious young man from a poor background.
Denry cheats at an examination in order to qualify for entry to a 'school for the sons of gentlemen'. At the age of 16, he becomes a junior clerk to Mr. Duncalf, the town clerk and a solicitor. He meets the charming and socially well-connected Countess of Chell, a client of Duncalf's, and is given the job of sending out invitations to a grand municipal ball. He 'invites' himself, and wins a five-pound bet that he will dance with the Countess. This earns him the reputation of a ""card"" (a ""character"", someone able to set tongues wagging) – a reputation he is determined to cement. But the next day, Duncalf angrily sacks Denry.
Denry offers his services as a rent collector to a dissatisfied former client of Duncalf's, Mrs Codleyn. His reputation as an efficient and no-nonsense collector brings the business of Mr Calvert. But Denry quickly realises that he can make more money by advancing loans, at a highly profitable interest rate, to the many tenants who are in arrears. He also discovers that Ruth Earp, the dancing teacher who is attracted to Denry, is herself heavily in debt. Despite this, he and Ruth become engaged.
While on holiday in Llandudno with Ruth and her friend Nellie Cotterill (as chaperone), he witnesses a shipwreck and the rescue of the sailors—an event that he turns to his financial advantage. He also realises Ruth's spendthrift nature, and they part on bitter terms.
Denry starts up the Five Towns Universal Thrift Club, a bold venture that allows members to purchase goods on credit. This increases Denry's wealth and reputation, and he is able to expand further, thanks to the patronage of the Countess.
Denry's social ambitions expand. He becomes a town councillor, and he purchases the rights to locally born Callear, the ""greatest centre forward in England"", for the failing local football club.
Ruth reappears, now the widow of a rich, older, titled man. He considers renewing their relationship but is unsure of his (and her) feelings.
Nellie's father, a builder, is bankrupt (again), and the family decide to migrate to Canada, with Denry's assistance. As they are boarding the ocean liner at Liverpool, Denry realises that Nellie is devastated at her potential loss and that he really loves only her. Ruth, who is also present, is furious, but quickly starts a fresh relationship with another older titled gentleman.
Nellie and Denry marry. Denry becomes the youngest mayor in the history of Bursley.",romantic comedy
19071,The Captain's Paradise,"In early 1950s North Africa, a man (Alec Guinness) is escorted through an angry, clamouring crowd by a platoon of soldiers. They enter a fort and it is clear that he is to be executed. The commander (Peter Bull) orders the men to line up in two rows and gives the order to fire. As the shots ring out, the scene changes to a ferry ship, the ""Golden Fleece"" in the docks as the passengers embark for the two days' journey to Gibraltar. Amongst the crew, there is much dismay, and the chief officer, Carlos Ricco (Charles Goldner) takes to his cabin with the clear intention of getting drunk. He is interrupted by an elderly gentleman, Lawrence St. James (Miles Malleson), who had come to speak his nephew, Captain Henry St. James on an unspecified, but urgent, matter. He is profoundly shocked to learn that the grief he had encountered on the ship is due to the death of the man he had travelled from England to see. He begs Ricco, to explain what has led to such an event. He learns that his nephew Henry was the prosperous owner and skipper of this small passenger ship which he captained as it ferried regularly to and fro between Gibraltar and Kalique, a port in North Africa.
In Morocco, he lives with his lover, Nita (Yvonne de Carlo) – a young, hot-blooded, exotic lady. She is 13 years younger than he and refers to him as ""her Jimmy"". He takes her out every night to expensive, fashionable restaurants and night clubs, where they lead a loud and wild lifestyle. In Gibraltar, he shares his life with Maud (Celia Johnson) – his devoted, domesticated wife, just three years his junior – living a respectable, sober existence, and going to bed every night no later than ten o'clock with mugs of cocoa. St James gives Nita lingerie. He gives Maud a vacuum cleaner. Both are delighted. On board his ship he disdains all female company choosing intellectual discussions with male passengers at the Captain's table. He has found a perfect existence – his paradise.
Growing perhaps complacent, St. James makes a careless mistake. This leads to Ricco, up till then believing Nita to be the captain's wife, discovering that the true Mrs. St James is living in Gibraltar. Ricco is glad to assist St. James in maintaining the deception and is soon called into action when Maud flies to Kalique and by chance meets Nita. St. James arranges to have Maud arrested before she and Nita realise that they are married to the same man. He convinces Maud that Morocco is a dangerous place and that she should never return there.
The years pass by. Maud has twins. She is thrilled with her two boys, but when they are sent to school in England, Maud is no longer enamoured with her existence. She wants to dance and drink gin. On the other hand, Nita wants to stay home and cook for her man. Henry is dismayed and makes every effort to keep everything just the way it was. His attempts to maintain the status quo result in both women taking lovers. When St James discovers Nita's infidelity, he leaves the flat as she continues the argument with her lover, Absalom. Nita shoots and kills her lover. In order to protect Nita, Captain St. James claims that he was the killer.
The execution is then shown, but the firing squad swing their rifles to the left and shoot their commanding officer. St. James hands them money and walks away.",romantic comedy
19170,Mask of Dust,"A freestyle racing driver must choose between his love for racing, and his wife. His friends's accident will help him to choose, and his loyal ways will get him a new friend - his main rival...",action
19243,Storm Over the Nile,"The film depicts Harry Faversham, a sensitive child who is terrified by his father and his Crimean War friends relating tales of cowardice that often ended in suicide. Young Harry follows his father's wishes of being commissioned in the Royal North Surrey Regiment. He also becomes engaged to marry the daughter of his father's friend, General Burroughs.
A year after his father's death, the North Surreys are given orders to deploy to the Sudan Campaign to join General Kitchener's forces to avenge General Gordon's death at Khartoum. Disgracefully, Harry resigns his commission on the eve of his regiment's departure, whereupon he receives a white feather (a symbol of cowardice) from each of three of his fellow officers and his fiancée.
Unable to live as a coward, Harry contacts a sympathetic friend of his father's, Dr Sutton, to obtain his help and contacts to join the campaign in the Sudan. Meeting Dr Sutton's friend Dr Harraz in Egypt, Harry is disguised as a member of a tribe that had their tongues cut out for their treachery by the supporters of the Mahdi. The tribe is identified with a brand that Harry undergoes as well as dyeing his skin colour. The extreme disguise is done to disguise the fact that he cannot speak Arabic or any other native language.
In his guise as a native worker, Harry follows his old company which has been ordered to create a diversion to distract the enemy. His former comrade and romantic rival Captain Durrance loses his helmet on a reconnaissance patrol. He is unable to retrieve it or move from a position facing the sun as a result of Sudanese searching for him. The hours he was forced to look at the hot sun destroy the nerves of his eyes, making him blind.
Harry warns the company of the enemy's night assault, but is knocked unconscious. His company is wiped out, with Harry's former friends, the Subalterns Burroughs and Willoughby captured by the enemy and imprisoned in Omdurman. Harry plays mute with the blind Durrance to take him to British lines, then enters Omdurman to rescue his old friends.",action
19360,Yangtse Incident: The Story of H.M.S. Amethyst,"On 19 April 1949, the Royal Navy sloop HMS Amethyst sails up the Yangtze River on her way to Nanking, the Chinese capital, to deliver supplies to the British Embassy. Suddenly, without warning, People's Liberation Army (PLA) shore batteries open fire and after a heavy engagement, Amethyst lies grounded in the mud and badly damaged. Fifty-four of her crew are dead, dying or seriously wounded while others deteriorate from the tropical heat and the lack of essential medicines, including the ship's captain, who dies of his wounds. An attempt to evacuate the wounded is only partially successful - the officers of the Amethyst become aware that two Petty Officers were captured by the PLA and are being held at a nearby military hospital. After taking stock of their position, the Captain is replaced by Lieutenant Commander John Kerans (Richard Todd), who had been serving as a Naval attaché in nearby Nanking but rushes to the beleaguered ship to take command.
After an attempt by HMS Consort to tow Amethyst off the mud bank fails, Lieutenant Commander Kerans decides to risk steaming down the Yangtze at night without a pilot or suitable charts. Before they can leave, however, the local Communist official Colonel Peng (Akim Tamiroff) makes contact with the Amethyst and at a meeting between senior officers makes his position clear: either the British government releases an apology accepting all responsibility for the entire incident, or the Amethyst will remain his prisoner. Similarly, he will not allow the two wounded sailors to leave unless they give him statements declaring the British to have been the transgressors, which they refuse to do. Kerans dismisses his demands but is able to manipulate Peng into the release of the Petty Officers; meanwhile, as talks progress he has the ship patched up and its engines restored. After some subtle alterations to the ship's outline to try to disguise her, Amethyst slips her cable and heads downriver in the dark following a local merchant ship, which Amethyst uses to show the way through the shoals and distract the PLA. When the shore batteries finally notice the frigate escaping downriver, the merchantman receives the brunt of the PLA artillery and catches fire, while Amethyst presses on at top speed.
Encountering an obstruction in the river in the form of several sunken ships, and having no proper equipment for charting a safe course, Kerans uses both intuition and luck to slip through before then reaching the guns and searchlights of Woosung. After she is inevitably spotted, the Amethyst is forced into a lengthy fight with the PLA batteries as she simply flees with all guns blazing, heading for the mouth of the river just beyond. As day dawns she finally reaches the open ocean, where she greets HMS Concord with the message ""Never repeat never has another ship been so welcome"". She also sends a signal to headquarters: ""Have rejoined the fleet south of Woosung ... No major damage... No casualties....God save the King!"" The film then ends with scrolling text reciting verbatim the message sent the very same day from King George VI, commending the crew for their ""courage, skill and determination"".[2]",action
19474,The Siege of Pinchgut,"An ambulance drives through Sydney, having been hijacked by escaped convict Matt Kirk and his three accomplices, Matt's brother Johnny, Italian Luke and Bert. The four men manage to avoid detection at Sydney Hospital, and head out through Sydney Harbour in a purchased vessel, intending to go north. However the boat breaks down before they can get through Sydney Heads and the men decide to take refuge in Fort Denison (also known as Pinchgut), unaware it is occupied by caretaker Pat Fulton, his wife and daughter Ann.
Kirk and the others take the Fultons hostage and decide to wait until the following night before leaving again. A boatload of tourists arrives but Pat Fulton manages to act as if everything is normal. However, when a police officer, Constable Macey, visits the fort bringing some milk, Ann Fulton screams for help and the authorities are alerted to the kidnappers' presence.
A siege situation results, with the police led by Superintendent Hanna. Matt Kirby is initially reluctant to hurt anyone but becomes less stable after his brother Johnny is shot and injured by Constable Macey. Bert, who is an ex-naval gunner, realises the gun on Fort Denison could be fired at a nearby munitions ship in the harbour and cause tremendous damage similar to the Bombay Explosion of 1944. However, shells for the gun are locked behind three heavy doors at the bottom of the fort which need to be laboriously prised open. Kirby demands a retrial for his conviction in exchange for not firing the gun.
The police order an evacuation of harbourside suburbs, stealthy unloading of the munitions boat, and position snipers around the fort as they try to negotiate a peaceful surrender. The injured Johnny starts to develop feelings towards Ann Fulton and suggests they surrender, but Matt refuses. Luke is shot dead by police snipers, and a sailor on the munitions ship is trapped under some crates. Bert and Matt manage to retrieve the ammunition and are in the process of transferring it to the gun when Bert is shot and killed. Matt loads the gun and prepares to fire when Johnny reveals that he has disabled the firing pin. A furious Matt tries to kill Johnny. Hanna leads a squad of police as they raid the island and Matt is killed. Johnny is arrested and taken away, but not before Pat Fulton promises to speak up for him.",action
